"date","companyId","marketCap","price","change","volume","ticker","name","superSectorId","superSector"
07/06/2017,171,2220000000.00,3.40,-3.53,1010800,"OIBR4","OI",35,"Telecommunications"
07/06/2017,6,76280000.00,3.65,0.00,17200,"ATOM3","Atompar",35,"Telecommunications"
07/06/2017,7,4400000000.00,12.71,1.02,1052800,"BTOW3","B2W",36,"Consumer Services"
07/06/2017,19,576710000.00,5.19,-1.73,29100,"BPHA3","Brasil Pharma",36,"Consumer Services"
07/06/2017,38,4290000000.00,31.30,2.20,1007900,"CVCB3","CVC",36,"Consumer Services"
07/06/2017,80,1330000000.00,6.39,2.03,71100,"AMAR3","Marisa",36,"Consumer Services"
07/06/2017,78,5310000000.00,237.00,5.27,109100,"MGLU3","Magazine Luiza",36,"Consumer Services"
07/06/2017,71,23540000000.00,13.98,3.65,9191100,"KROT3","Kroton",36,"Consumer Services"
07/06/2017,49,5300000000.00,16.56,3.80,2671500,"ESTC3","Estacio",36,"Consumer Services"
07/06/2017,57,1340000000.00,16.45,2.07,159600,"ANIM3","ANIMA",36,"Consumer Services"
07/06/2017,59,2890000000.00,7.85,6.11,4637900,"GOLL4","GOL LINHAS AEREAS INTELIGENTES SA",36,"Consumer Services"
07/06/2017,120,430650000.00,6.44,-0.93,64800,"SHOW3","T4F",36,"Consumer Services"
06/03/2017,112,471020000.00,91.00,0.00,100,"AHEB3","São Paulo Turismo",36,"Consumer Services"
07/06/2017,114,3000000000.00,23.70,1.27,1591300,"SEER3","Ser Educacional",36,"Consumer Services"
07/06/2017,116,8000000000.00,63.30,2.05,1232400,"SMLE3","Smiles",36,"Consumer Services"
07/06/2017,85,6420000000.00,39.10,1.28,290000,"MPLU3","Multiplus",36,"Consumer Services"
07/06/2017,139,3920000000.00,15.05,-0.40,2000,"SEDU3","Somos Educação",36,"Consumer Services"
07/06/2017,224,125160000.00,4.62,1.52,101800,"SLED4","Saraiva",36,"Consumer Services"
07/06/2017,221,24810000000.00,74.62,0.86,1826400,"RADL3","Raia Drogasil",36,"Consumer Services"
07/06/2017,268,7960000000.00,26.00,-6.31,27300,"LLIS3","Restoque",36,"Consumer Services"
07/06/2017,254,1010000000.00,6.34,-2.21,501000,"MEAL3","International Meal",36,"Consumer Services"
07/06/2017,251,54560000.00,2.97,0.00,200,"HOOT4","Othon",36,"Consumer Services"
07/06/2017,244,430300000.00,20.61,0.19,12500,"CGRA4","Grazziotin",36,"Consumer Services"
07/06/2017,270,9770000000.00,43.60,2.20,1129100,"RENT3","Localiza",36,"Consumer Services"
07/06/2017,271,569040000.00,8.97,-0.78,130800,"LCAM3","Locamerica",36,"Consumer Services"
07/06/2017,272,20890000000.00,14.65,0.00,2284200,"LAME4","Lojas Americanas",36,"Consumer Services"
07/06/2017,306,603900000.00,9.57,-0.84,53800,"PFRM3","Profarma",36,"Consumer Services"
07/06/2017,304,5230000000.00,4.07,-0.49,1600,"VVAR3","Via Varejo",36,"Consumer Services"
07/06/2017,296,1090000000.00,239.00,0.42,100,"PNVL4","Dimed",36,"Consumer Services"
07/06/2017,297,18800000000.00,68.50,3.21,825400,"PCAR4","GPA-CBD",36,"Consumer Services"
07/06/2017,312,19360000000.00,27.04,1.33,2591400,"LREN3","Renner",36,"Consumer Services"
07/06/2017,327,131460000.00,2.81,6.05,6100,"TRPN3","Tarpon",37,"Financials"
07/06/2017,298,927950000.00,11.11,1.35,400,"PRBC4","PARANÁ BANCO",37,"Financials"
04/05/2017,282,99060000.00,5.50,0.00,300,"MERC3","Mercantil do Brasil",37,"Financials"
01/03/2016,255,0,37.89,0.33,0,"FIGE4","Bemge",37,"Financials"
07/06/2017,258,238800000000.00,36.01,1.64,10371200,"ITUB4","Itaú Unibanco",37,"Financials"
23/08/2016,217,0,8.90,0.00,100,"DAYC4","Banco Daycoval",37,"Financials"
04/08/2016,207,0,73.85,8.32,100,"CORR4","Correa Ribeiro",37,"Financials"
19/04/2017,200,384030000.00,50.01,0.00,100,"CSAB4","Seg Aliança Bahia",37,"Financials"
07/06/2017,170,126260000.00,17.31,-0.87,59700,"BRIN3","BR Insurance",37,"Financials"
07/06/2017,168,38210000000.00,18.55,1.13,7413700,"BVMF3","BM&amp;F Bovespa",37,"Financials"
07/02/2017,174,998360000.00,25.56,7.60,300,"BSLI3","BRB",37,"Financials"
14/02/2017,194,1840000.00,2.00,0.00,100,"MAPT4","Cemepe",37,"Financials"
29/03/2017,190,0,49.05,0.92,37154700,"CTIP3","Cetip",37,"Financials"
07/06/2017,99,10160000000.00,31.06,1.42,310500,"PSSA3","Porto Seguro",37,"Financials"
07/06/2017,138,3190000000.00,16.92,1.06,228400,"ABCB4","Banco ABC",37,"Financials"
06/06/2017,143,549590000.00,6.18,0.00,400,"BRIV4","Banco Alfa",37,"Financials"
07/06/2017,144,412190000.00,4.15,-3.61,700,"CRIV4","Financeira Alfa",37,"Financials"
06/06/2017,145,388620000.00,4.37,0.00,2900,"BRIV3","Alfa Holdings",37,"Financials"
31/05/2017,155,785590000.00,26.50,0.00,200,"BAZA3","Banco da Amazônia",37,"Financials"
07/06/2017,156,229490000.00,1.51,0.00,11500,"IDVL4","Banco Indusval",37,"Financials"
07/06/2017,157,93090000.00,0.50,2.00,128000,"BMIN4","Banco Mercantil Investimentos",37,"Financials"
07/06/2017,158,205600000.00,4.40,1.36,23000,"BMEB4","Banco Mercantil",37,"Financials"
07/06/2017,160,13510000000.00,14.37,-0.49,1741200,"BBTG11","BTG Pactual",37,"Financials"
07/06/2017,161,406580000.00,26.51,0.34,100,"BGIP4","Banese",37,"Financials"
07/06/2017,162,995120000.00,3.21,-1.87,46200,"BEES3","Banestes",37,"Financials"
07/06/2017,164,5340000000.00,13.09,-0.31,1900100,"BRSR6","Banrisul",37,"Financials"
07/06/2017,118,7200000000.00,18.00,3.33,1118500,"SULA11","Sul América",37,"Financials"
07/06/2017,60,735260000.00,6.95,-3.02,171700,"GPIV33","GP",37,"Financials"
02/05/2017,56,0,18.90,2.12,357200,"PARC3","Wiz",37,"Financials"
07/06/2017,28,60650000000.00,22.44,-0.36,3967100,"CIEL3","Cielo",37,"Financials"
07/06/2017,18,6300000000.00,18.23,-0.71,1190000,"BRAP4","Bradespar",37,"Financials"
07/06/2017,8,168860000000.00,27.31,1.61,6644600,"BBDC4","Bradesco",37,"Financials"
07/06/2017,9,80010000000.00,28.39,1.20,7351100,"BBAS3","Banco do Brasil",37,"Financials"
07/06/2017,10,1720000000.00,1.87,-1.07,139200,"BPAN4","Banco Pan",37,"Financials"
